107.138179	117.021367	clean breathing
227.085768	232.982378	heavy breathing
237.002616	245.904572	heavy breathing
250.594850	258.539607	heavy breathing
478.941442	482.276929	breathing
610.149861	614.680266	breathing
621.434708	630.241463	clean breathing
637.621589	656.531592	clean breathing
659.375511	666.045794	breathing
671.044949	677.007808	heavy breathing
685.901518	689.624466	breathing
691.330818	694.846935	breathing
695.312304	704.361137	heavy breathing
757.930226	779.130348	light breathing
820.379648	825.840981	heavy breathing
841.700693	846.484821	breathing
852.798123	856.446293	heavy breathing
861.448875	864.551329	heavy breathing
1002.714077	1007.833131	breathing
1010.935588	1022.673217	heavy breathing
