280.999552	284.553341	breathing
288.357396	296.090640	heavy breathing
301.617098	312.683328	heavy breathing
316.610780	321.579617	heavy breathing
996.579622	1000.595565	heavy breathing
1047.691864	1052.321800	breathing
1056.651415	1063.911854	clean breathing
1064.609578	1067.995642	heavy breathing
1070.919971	1074.421470	heavy breathing
1087.934764	1092.239353	heavy breathing
1094.792074	1096.892628	heavy breathing
1097.277408	1100.009347	heavy breathing
1101.548467	1103.433889	heavy breathing
1104.001892	1106.930013	heavy breathing
1110.709042	1114.630990	breathing
1287.743557	1291.514402	breathing
2121.061817	2125.640700	breathing
2147.457732	2160.424821	breathing
2162.848936	2166.081089	heavy breathing
2166.812171	2168.505203	heavy breathing
2169.390197	2180.548820	breathing
2180.972078	2193.313123	clean breathing
2197.286755	2213.485997	breathing
2213.870777	2229.126301	clean breathing 
2240.577271	2248.110949	breathing
2253.338399	2258.488975	heavy breathing
2263.716424	2339.975693	heavy breathing
