105.184900	117.021367	breathing
227.085768	258.461151	light breathing
348.823778	355.728579	light breathing 
389.835518	400.138656	light breathing
430.275721	441.320314	light breathing
478.941442	488.201908	breathing
606.690968	614.680266	breathing
621.434708	630.241463	breathing
637.621589	667.112789	breathing
671.044949	684.589056	breathing
686.074539	709.361664	heavy breathing
714.036565	721.726123	breathing
724.784469	737.105237	heavy breathing
754.537813	785.208661	light breathing
820.379648	825.840981	heavy breathing
841.700693	846.484821	breathing
852.798123	856.446293	heavy breathing
861.448875	863.961088	heavy breathing
906.777941	909.355691	heavy breathing
921.283243	935.919616	breathing
945.072811	948.000085	heavy breathing
955.973632	960.779605	heavy breathing
1000.975019	1039.881557	heavy breathing
1041.672875	1062.185643	heavy breathing
